Neighborhood,WHITE,HISP,BLACK,ASIAN,OTHER,Zip
Albany Park,15608,24927,2401,7536,1520,60625
Edgewater,30785,9326,7446,6579,1829,"60640, 60660"
Edison Park,9599,1201,194,309,301,60631
Forest Glen,13444,2613,188,2395,378,60630
Irving Park,22786,23704,1479,4786,1851,60618
Jefferson Park,17522,5948,236,2476,626,60630
Lincoln Park,53512,4446,3206,4653,1893,"60610, 60614"
Lincoln Square,26782,6978,1594,4650,1711,60625
North Center,27568,4192,668,1791,1570,"60613, 60618"
North Park,9789,3154,541,4703,655,60625
Norwood Park,30218,4377,165,1231,1098,60631
Portage Park,32324,26215,901,3260,1607,"60634, 60641"
Uptown,31602,8324,10487,5812,1748,60640
West Ridge,32173,14256,9201,17200,3385,"60645, 60659"
